method,epoch,train_logz,test_logz
ekf,1,-16710.89658508614,-570.972343900652
ekf,2,-16603.36103422375,-568.1476007877936
ekf,3,-16568.5538345243,-567.2392925032291
sqmc,1,-15592.661698698406,-566.1960475978594
sqmc,2,-15701.927035830586,-549.5798178941277
sqmc,3,-15540.784812367974,-546.2294316252901
