method,compile_sec,train_execution_sec,prediction_sec,pipeline_sec,final_train_logz,final_test_logz,best_test_logz,mean_brier_score,brier_skill_score_vs_uniform,outcome_accuracy,exact_score_accuracy,mean_log_likelihood,n_scored
ekf,0.8673129999951925,1.173955083002511,1.130670458995155,3.1719385419928585,-16568.5538345243,-567.2392925032291,-567.2392925032291,0.5465712804314959,0.18014307935275609,0.5480769230769231,0.07692307692307693,-3.2112835410924294,104
sqmc,2.0718400000041584,8.095612042001449,2.734998790998361,12.902450833003968,-15540.784812367974,-546.2294316252901,-546.2294316252901,0.7199373586161937,-0.07990603792429063,0.49038461538461536,0.07692307692307693,-4.186405039491563,104
