sequence,dimension,n,mode,scramble,implementation,backend,order,repetition_seeds,setup_seconds,first_call_seconds,samples_seconds,median_seconds,q25_seconds,q75_seconds
sobol,2,8192,fresh,True,jax,gpu,1,"[332697898, 932814764, 1145832512, 3469776947, 3265138596, 1370292082, 4099334836]",0.0057322930001646455,1.5397324119999212,"[0.00025125499996647704, 0.0002722480001011718, 0.0002453920001244114, 0.00024948100008259644, 0.0003228040000067267, 0.00026946399998450943, 0.00024693499995009915]",0.00025125499996647704,0.0002482080000163478,0.0002708560000428406
sobol,2,8192,fresh,True,scipy,cpu,2,"[332697898, 932814764, 1145832512, 3469776947, 3265138596, 1370292082, 4099334836]",0.0032552570000916603,0.0014993510001204413,"[0.0005400659999850177, 0.0005351240001800761, 0.0005434330000753107, 0.0005217009997977584, 0.0005448510000860551, 0.0005453230000966869, 0.000513857999976608]",0.0005400659999850177,0.0005284124999889173,0.0005441420000806829
sobol,2,32768,fresh,True,jax,gpu,0,"[3891496917, 198421564, 630301864, 4043047133, 3825668189, 1329159983, 1638198038]",0.0002268240000375954,1.2042313829999785,"[0.00028317999999671883, 0.0003004630000305042, 0.0002887449998070224, 0.00029617800009873463, 0.0003118560000530124, 0.00033499799997116497, 0.0002892429999974411]",0.00029617800009873463,0.00028899399990223174,0.0003061595000417583
sobol,2,32768,fresh,True,scipy,cpu,1,"[3891496917, 198421564, 630301864, 4043047133, 3825668189, 1329159983, 1638198038]",0.00380882800004656,0.0017971390000184329,"[0.0007364719999713998, 0.0007469669999409234, 0.000721203000011883, 0.0007338160000927019, 0.0007225029999062826, 0.0007143910002014309, 0.0007321979999233008]",0.0007321979999233008,0.0007218529999590828,0.0007351440000320508
sobol,2,32768,fresh,True,jax,cpu,2,"[3891496917, 198421564, 630301864, 4043047133, 3825668189, 1329159983, 1638198038]",0.00021987499985698378,0.5832262249998621,"[0.0005939849997957936, 0.0009553360000609246, 0.0006692310000744328, 0.0005782510002063646, 0.0005659920000198326, 0.0007002899999406509, 0.0005754390001584397]",0.0005939849997957936,0.0005768450001824021,0.0006847605000075419
sobol,2,131072,fresh,True,scipy,cpu,0,"[2104544475, 2705023265, 406731490, 4101130462, 1699945285, 710356002, 3243374518]",0.005383007000091311,0.005801239999982499,"[0.0015768140001455322, 0.0016760949999934383, 0.001562292000016896, 0.0015648480000436393, 0.0015619779999269667, 0.001592283000036332, 0.0016143539999120549]",0.0015768140001455322,0.0015635700000302677,0.0016033184999741934
sobol,2,131072,fresh,True,jax,cpu,1,"[2104544475, 2705023265, 406731490, 4101130462, 1699945285, 710356002, 3243374518]",0.0002562510001098417,0.5899390450001647,"[0.0019072079999205016, 0.0018008849999660015, 0.0016255699999874196, 0.0019773420001456543, 0.0017509730000710988, 0.00206961499998215, 0.002083671999798753]",0.0019072079999205016,0.0017759290000185501,0.002023478500063902
sobol,2,131072,fresh,True,jax,gpu,2,"[2104544475, 2705023265, 406731490, 4101130462, 1699945285, 710356002, 3243374518]",0.008438117000196144,7.133512947000099,"[0.00034114100003534986, 0.00036610699999073404, 0.0003761499999654916, 0.0003761579998808884, 0.00035709499979930115, 0.0003381730000455718, 0.0003387550000297779]",0.00035709499979930115,0.00033994800003256387,0.0003711284999781128
sobol,5,128,fresh,True,jax,cpu,0,"[3416267734, 2733271717, 688862638, 670639440, 2496218747, 3061240720, 1730857840]",0.004501560000107929,0.5138290649999817,"[0.00016172000005099108, 0.0001537529999495746, 0.0001205490000302234, 0.00010116699991158384, 0.00014467099981629872, 0.00011321600004521315, 0.00010101700013365189]",0.0001205490000302234,0.0001071914999783985,0.00014921199988293665
sobol,5,128,fresh,True,jax,gpu,1,"[3416267734, 2733271717, 688862638, 670639440, 2496218747, 3061240720, 1730857840]",0.004765718000044217,1.3467750790000537,"[0.00017454300018471258, 0.00023264400010702957, 0.00017552799999975832, 0.00026629200010575005, 0.0002030740001828235, 0.00015006600006017834, 0.00016044200015130627]",0.00017552799999975832,0.00016749250016800943,0.00021785900014492654
sobol,5,128,fresh,True,scipy,cpu,2,"[3416267734, 2733271717, 688862638, 670639440, 2496218747, 3061240720, 1730857840]",0.0032771280000361003,0.00188726500005032,"[0.0006948070001726592, 0.0006536109999615292, 0.0006819980001182557, 0.0006664219999947818, 0.0006476480000401352, 0.0006548530000145547, 0.0006750689999535098]",0.0006664219999947818,0.0006542319999880419,0.0006785335000358828
sobol,5,512,fresh,True,jax,gpu,0,"[1518203641, 868565007, 3344379884, 4018689803, 3750916643, 2038659927, 980708029]",0.00023350599985860754,1.3458632059998763,"[0.00019891700003427104, 0.00020698999992418976, 0.0001972800000658026, 0.000355175000095187, 0.0002321300000858173, 0.00019413600011830567, 0.00018641499991645105]",0.00019891700003427104,0.00019570800009205414,0.00021956000000500353
sobol,5,512,fresh,True,scipy,cpu,1,"[1518203641, 868565007, 3344379884, 4018689803, 3750916643, 2038659927, 980708029]",0.0031928460000472114,0.001777502999857461,"[0.000680270999964705, 0.0006597730000521551, 0.0006515079999189766, 0.0006799549998959264, 0.00065587900007813, 0.0006491239998922538, 0.0006622250000418717]",0.0006597730000521551,0.0006536934999985533,0.0006710899999688991
sobol,5,512,fresh,True,jax,cpu,2,"[1518203641, 868565007, 3344379884, 4018689803, 3750916643, 2038659927, 980708029]",0.00021317000005183218,0.4879426580000654,"[0.00013541799989980063, 0.00016570000002502638, 0.00014111099994806864, 0.00013069400006315846, 0.00014017200010130182, 0.0001260310000361642, 0.00013506300001608906]",0.00013541799989980063,0.00013287850003962376,0.00014064150002468523
sobol,5,2048,fresh,True,scipy,cpu,0,"[3008378437, 1648326157, 3156416155, 3002641864, 1364403773, 3234627471, 3216042209]",0.003756794000082664,0.00255318100016666,"[0.0006813579998379282, 0.0006902999998601445, 0.0006938599999557482, 0.000695322999945347, 0.000688932000002751, 0.0008269019999715965, 0.000713965000159078]",0.0006938599999557482,0.0006896159999314477,0.0007046440000522125
sobol,5,2048,fresh,True,jax,cpu,1,"[3008378437, 1648326157, 3156416155, 3002641864, 1364403773, 3234627471, 3216042209]",0.00023169900009634148,0.5487415420000161,"[0.0001878289999694971, 0.00020145799999227165, 0.0002217870001004485, 0.0002086790000248584, 0.00017840700002125232, 0.00016773199990893772, 0.00016751399994063831]",0.0001878289999694971,0.00017306949996509502,0.00020506850000856502
sobol,5,2048,fresh,True,jax,gpu,2,"[3008378437, 1648326157, 3156416155, 3002641864, 1364403773, 3234627471, 3216042209]",0.006026458999940587,1.5623372120001022,"[0.00021457100001498475, 0.0002071300000352494, 0.000192805999859047, 0.00019021000002794608, 0.00019089400007032964, 0.00021212899991951417, 0.00018706000014390156]",0.000192805999859047,0.00019055200004913786,0.00020962949997738178
sobol,5,8192,fresh,True,jax,cpu,0,"[1513062611, 3889393558, 2035318850, 867676964, 1369405895, 3467174644, 3786912183]",0.003564767999932883,0.5599420940000073,"[0.00041681199991217, 0.0004197969999495399, 0.0003747169998860045, 0.0003149570000005042, 0.00032025399991653103, 0.00032832000010785123, 0.0003261710000970197]",0.00032832000010785123,0.00032321250000677537,0.00039576449989908724
sobol,5,8192,fresh,True,jax,gpu,1,"[1513062611, 3889393558, 2035318850, 867676964, 1369405895, 3467174644, 3786912183]",0.005233714999803851,1.4578466740001659,"[0.00023423099992214702, 0.00025778300005185883, 0.00024045200007094536, 0.00024180799982786993, 0.00022752900008526922, 0.00023770999996486353, 0.00023614499991708726]",0.00023770999996486353,0.00023518799991961714,0.00024112999994940765
sobol,5,8192,fresh,True,scipy,cpu,2,"[1513062611, 3889393558, 2035318850, 867676964, 1369405895, 3467174644, 3786912183]",0.003435383000123693,0.002201796999997896,"[0.0007973619999575021, 0.0008034669999688049, 0.0007842309998977726, 0.0008030270000745077, 0.0007713439999861293, 0.0007698030001392908, 0.0007478090001313831]",0.0007842309998977726,0.0007705735000627101,0.0008001945000160049
sobol,5,32768,fresh,True,jax,gpu,0,"[1787998957, 3082754123, 4039265592, 1707306001, 833449917, 237460282, 492830380]",0.00024101599979076127,1.4242654209999728,"[0.00031381999997392995, 0.00035908999984712864, 0.00039696300018476904, 0.0004184629999599565, 0.0004076409998106101, 0.0003739359999599401, 0.000301247999914267]",0.0003739359999599401,0.0003364549999105293,0.00040230199999768956
sobol,5,32768,fresh,True,scipy,cpu,1,"[1787998957, 3082754123, 4039265592, 1707306001, 833449917, 237460282, 492830380]",0.0040093200000228535,0.003197195999973701,"[0.0011280080000233283, 0.0012451330001113092, 0.0011939669998355384, 0.0011402390000512241, 0.0011343920000399521, 0.0011169639999479841, 0.0011171310000008816]",0.0011343920000399521,0.001122569500012105,0.0011671029999433813
sobol,5,32768,fresh,True,jax,cpu,2,"[1787998957, 3082754123, 4039265592, 1707306001, 833449917, 237460282, 492830380]",0.00022428600004786858,0.6085008190000281,"[0.0007797460000347201, 0.0008095609998690634, 0.000870466999913333, 0.0008957349998581776, 0.0006983339999351301, 0.0011244349998378311, 0.0010586869998405746]",0.000870466999913333,0.0007946534999518917,0.000977210999849376
sobol,5,131072,fresh,True,scipy,cpu,0,"[1087889576, 2437443781, 1330052380, 728987073, 2139437461, 3589401356, 3304334268]",0.007161281999970015,0.009399306999966939,"[0.005135169000141104, 0.0038947759999246045, 0.002796450999994704, 0.002807994000022518, 0.0027995190000638104, 0.0028034439999373717, 0.002824782999823583]",0.002807994000022518,0.002801481500000591,0.0033597794998740937
sobol,5,131072,fresh,True,jax,cpu,1,"[1087889576, 2437443781, 1330052380, 728987073, 2139437461, 3589401356, 3304334268]",0.00022580199993171846,0.6181047109998872,"[0.0037228579999464273, 0.003351407000081963, 0.0026009359999079606, 0.0026455439999608643, 0.0027112860000215733, 0.0026674110001749796, 0.0026019780000297033]",0.0026674110001749796,0.0026237609999952838,0.003031346500051768
