method,compile_sec,train_execution_sec,prediction_sec,pipeline_sec,final_train_logz,final_test_logz,best_test_logz,mean_brier_score,brier_skill_score_vs_uniform,outcome_accuracy,exact_score_accuracy,mean_log_likelihood,n_scored
ekf,0.970923082999434,12.522897083001226,0.9636392920001526,14.457459458000812,-15675.041828342091,-1040.0085136151356,-1040.0085136151356,0.5441639548023155,0.1837540677965267,0.5288461538461539,0.07692307692307693,-3.131158553720345,104
sqmc,15.991104382999993,3657.427954372,17.5002356519999,3690.919294407,-14991.42126035742,-1005.2261671227716,-970.8976284350665,0.6521164852318626,0.021825272152206088,0.5096153846153846,0.0673076923076923,-3.5230822923541476,104
