team_name,attack,defence
South Africa,-0.121510,0.725052
South Korea,0.941802,0.605242
South Sudan,-0.507856,-0.350254
Spain,1.219280,0.944024
Sri Lanka,-0.782449,0.633222
Sudan,-0.534541,-0.204950
Suriname,-0.258961,0.226185
Sweden,0.622714,0.604579
Switzerland,0.815806,0.099805
Syria,0.383678,0.453588
São Tomé and Príncipe,-0.540067,-0.853368
Tahiti,0.232501,0.505571
Taiwan,0.959653,0.004917
Tajikistan,0.283753,1.227986
Tanzania,0.495709,0.510720
Thailand,0.300598,1.056721
Timor-Leste,-0.800608,-0.243195
Togo,-0.746321,0.067665
Tonga,-0.786687,-0.319857
Trinidad and Tobago,-0.805919,-0.293658
Tunisia,0.477282,0.985852
Turkey,0.087829,0.800026
Turkmenistan,0.244541,0.633411
Turks and Caicos Islands,-1.189786,-1.407173
Tuvalu,-0.357811,-0.498081
Uganda,-0.457487,-0.140405
Ukraine,0.245494,0.412320
United Arab Emirates,0.312572,1.197013
United States,-0.003601,-0.319229
United States Virgin Islands,-0.787423,-1.596698
Uruguay,0.629213,0.649080
Uzbekistan,0.387591,1.720482
Vanuatu,-0.486183,-0.426504
Venezuela,-0.151762,1.152703
Vietnam,0.100791,-0.046339
Wales,-0.378891,0.304546
Wallis Islands and Futuna,-0.228166,-0.619798
Western Australia,0.001235,-0.330590
Yemen,0.539941,0.060940
Zambia,0.454420,-0.111099
Zimbabwe,0.011735,0.278977
Åland Islands,0.168307,-0.421357
